planned_shift_id,hospital_id,unit_id,shift_date,shift_type,role,service_id,rule_id,planned_headcount,baseline_min_staff,demand_patient_count,occupied_bed_demand,physical_bed_capacity,occupancy_rate_proxy,avg_arrival_acuity,queue_triggered_flag
PS_20251231_AM_U_ED_bed_manager,CL_HGGB_001,U_ED,2025-12-31,AM,bed_manager,S_BED_MGMT,R_ED_BED_MGR_AM,1,1,0.0,0.0,0.0,0.0,0.0,0
PS_20251231_AM_U_ED_ed_nurse,CL_HGGB_001,U_ED,2025-12-31,AM,ed_nurse,S_ED_OBS,R_ED_NURSE_AM,4,4,0.0,0.0,0.0,0.0,0.0,0
PS_20251231_AM_U_ED_ed_physician,CL_HGGB_001,U_ED,2025-12-31,AM,ed_physician,S_ED_MD,R_ED_MD_AM,3,3,0.0,0.0,0.0,0.0,0.0,0
PS_20251231_AM_U_ED_triage_nurse,CL_HGGB_001,U_ED,2025-12-31,AM,triage_nurse,S_TRIAGE,R_ED_TRIAGE_AM,2,2,0.0,0.0,0.0,0.0,0.0,0
PS_20251231_AM_U_ICU_icu_nurse,CL_HGGB_001,U_ICU,2025-12-31,AM,icu_nurse,S_ICU_CARE,R_ICU_NURSE_AM,4,4,0.0,0.0,0.0,0.0,0.0,0
PS_20251231_AM_U_ICU_icu_physician,CL_HGGB_001,U_ICU,2025-12-31,AM,icu_physician,S_ICU_ADMIT,R_ICU_MD_AM,1,1,0.0,0.0,0.0,0.0,0.0,0
PS_20251231_AM_U_MED_hospitalist,CL_HGGB_001,U_MED,2025-12-31,AM,hospitalist,,R_MED_MD_AM,2,2,0.0,0.0,0.0,0.0,0.0,0
PS_20251231_AM_U_MED_ward_nurse,CL_HGGB_001,U_MED,2025-12-31,AM,ward_nurse,,R_MED_NURSE_AM,6,6,0.0,0.0,0.0,0.0,0.0,0
PS_20251231_AM_U_SURG_surgical_nurse,CL_HGGB_001,U_SURG,2025-12-31,AM,surgical_nurse,,R_SURG_NURSE_AM,5,5,0.0,0.0,0.0,0.0,0.0,0
PS_20251231_NIGHT_U_ED_bed_manager,CL_HGGB_001,U_ED,2025-12-31,NIGHT,bed_manager,S_BED_MGMT,R_ED_BED_MGR_NIGHT,1,1,0.0,9.0,20.0,0.45,0.0,0
PS_20251231_NIGHT_U_ED_ed_nurse,CL_HGGB_001,U_ED,2025-12-31,NIGHT,ed_nurse,S_ED_OBS,R_ED_NURSE_NIGHT,3,3,0.0,9.0,20.0,0.45,0.0,0
PS_20251231_NIGHT_U_ED_ed_physician,CL_HGGB_001,U_ED,2025-12-31,NIGHT,ed_physician,S_ED_MD,R_ED_MD_NIGHT,2,2,0.0,9.0,20.0,0.45,0.0,0
PS_20251231_NIGHT_U_ED_triage_nurse,CL_HGGB_001,U_ED,2025-12-31,NIGHT,triage_nurse,S_TRIAGE,R_ED_TRIAGE_NIGHT,1,1,0.0,9.0,20.0,0.45,0.0,0
PS_20251231_NIGHT_U_ICU_icu_nurse,CL_HGGB_001,U_ICU,2025-12-31,NIGHT,icu_nurse,S_ICU_CARE,R_ICU_NURSE_NIGHT,4,4,0.0,0.0,0.0,0.0,0.0,0
